year;id;study;t1;t2;effect;se
2005;203;203;AMI;OLA;-0.51;0.34
2006;5;5;RIS;SER;0.15;0.15
2006;111;111;CLO;HAL;-0.12;0.23
2006;111;111;CLO;OLA;0.2;0.23
2006;111;111;OLA;HAL;-0.33;0.24
2006;133;133;ARI;PBO;-0.33;0.15
2006;201;201;AMI;OLA;0.21;0.22
2006;207;207;QUE;RIS;0.12;0.08
2007.1;8;8;RIS;PBO;-0.66;0.13
2007.1;9;9;OLA;PBO;-0.6;0.12
2007.1;10;10;HAL;PBO;-0.22;0.2
2007.6;23;23;OLA;HAL;0.44;0.42
2007;31;31;ARI;RIS;0.08;0.22
2007.3;53;53;OLA;PBO;-0.74;0.13
2007.3;53;53;pal;PBO;-0.63;0.13
2007.3;53;53;pal;OLA;0.09;0.13
2007.4;97;97;QUE;PBO;-0.39;0.1
2007.9;99;99;OLA;PBO;-0.74;0.13
2007.9;99;99;pal;PBO;-0.71;0.11
2007.9;99;99;pal;OLA;0.02;0.1
2007.95;110;110;CLO;OLA;-0.23;0.37
2007.2;114;114;RIS;HAL;-0.32;0.45
2007.4;124;124;OLA;PBO;-0.5;0.14
2007.4;124;124;pal;OLA;0.09;0.12
2007.4;124;124;pal;PBO;-0.43;0.12
2007.6;126;126;OLA;QUE;-0.25;0.15
2007.6;126;126;OLA;RIS;-0.08;0.15
2007.6;126;126;QUE;RIS;0.26;0.15
2007.6;127;127;ARI;PBO;-0.43;0.12
2007.5;129;129;RIS;PBO;-0.62;0.12
2007.8;145;145;OLA;PBO;-1;0.23
2007.85;154;154;ASE;PBO;-0.44;0.19
2007.85;154;154;RIS;PBO;-0.3;0.19
2007.85;154;154;ASE;RIS;-0.15;0.19
2007.85;160;160;OLA;QUE;0.16;0.35
2007.9;210;210;ARI;ZIP;-0.16;0.13
2008.2;1;1;RIS;HAL;-0.86;0.26
2008.9;28;28;RIS;PBO;-0.66;0.14
2008.6;51;51;ILO;PBO;-0.28;0.1
2008.6;51;51;ILO;ZIP;0.02;0.1
