id;t1;n1;r1;rob;t2;n2;r2
413;clom;84;54;1;sert;82;53
414;sert;79;56;2;venl;84;56
415;sert;82;45;1;venl;78;49
433;amit;22;12;2;traz;21;6
436;amit;38;18;2;traz;36;15
437;amit;44;29;2;traz;112;58
438;amit;37;21;1;traz;36;21
439;paro;53;48;1;traz;55;48
440;sert;60;37;1;traz;62;46
444;clom;61;41;2;venl;60;32
446;paro;81;44;2;venl;165;98
454;fluo;24;15;2;venl;27;14
455;fluo;152;74;2;venl;156;86
456;fluo;77;36;2;venl;79;38
457;sert;293;167;2;venl;295;174
458;fluo;34;17;2;venl;34;24
461;fluo;161;95;2;venl;153;107
465;fluo;170;58;2;venl;171;67
466;fluv;34;14;2;venl;77;48
467;fluo;186;153;1;venl;196;170
468;paro;178;117;2;venl;183;130
469;clom;50;20;2;venl;52;30
471;clom;58;40;2;traz;57;33
471;clom;58;40;2;venl;55;41
471;traz;57;33;2;venl;55;41
473;fluo;47;40;1;venl;40;34
476;sert;72;41;1;venl;75;49
477;fluo;54;33;2;venl;55;38
478;amit;59;44;1;venl;57;43
479;paro;56;29;1;venl;58;43
480;amit;77;35;2;venl;79;30
481;cita;75;50;2;venl;76;49
484;fluo;275;210;2;venl;821;612
489;cita;25;21;2;venl;28;12
492;fluo;14;8;2;venl;15;9
493;fluo;58;41;2;venl;54;38
517;venl;230;132;1;vort;213;139
520;bupr;122;74;2;sert;126;73
